Date,Adj Close
04-02-2013,57.147373
05-02-2013,59.15255
06-02-2013,59.089245
07-02-2013,60.846199
08-02-2013,61.724682
11-02-2013,62.367943
12-02-2013,60.804611
13-02-2013,60.68895
14-02-2013,60.634373
15-02-2013,59.798782
19-02-2013,59.776699
20-02-2013,58.329021
21-02-2013,57.96645
22-02-2013,58.583717
25-02-2013,57.542816
26-02-2013,58.34462
27-02-2013,57.772827
28-02-2013,57.360882
01-03-2013,55.940506
04-03-2013,54.586395
05-03-2013,56.027565
06-03-2013,55.315422
07-03-2013,55.954796
08-03-2013,56.10294
11-03-2013,56.902142
12-03-2013,55.675392
13-03-2013,55.664997
14-03-2013,56.2043
15-03-2013,57.654575
18-03-2013,59.221798
19-03-2013,59.061951
20-03-2013,58.748772
21-03-2013,58.833233
22-03-2013,60.026207
25-03-2013,60.243217
26-03-2013,59.926144
27-03-2013,58.748772
28-03-2013,57.524616
01-04-2013,55.737774
02-04-2013,55.852123
03-04-2013,56.138023
04-04-2013,55.583126
05-04-2013,54.995747
08-04-2013,55.386906
09-04-2013,55.486961
10-04-2013,56.618843
11-04-2013,56.442108
12-04-2013,55.853436
15-04-2013,54.56041
16-04-2013,55.3908
17-04-2013,52.344734
18-04-2013,50.947731
19-04-2013,50.75021
22-04-2013,51.808025
23-04-2013,52.777462
24-04-2013,52.690392
25-04-2013,53.069851
26-04-2013,54.216034
29-04-2013,55.895012
30-04-2013,57.540211
01-05-2013,57.08667
02-05-2013,57.896278
03-05-2013,58.475864
06-05-2013,59.870251
07-05-2013,59.603859
08-05-2013,60.277
09-05-2013,59.751133
10-05-2013,59.254047
13-05-2013,59.485588
14-05-2013,58.062355
15-05-2013,56.098854
16-05-2013,56.848415
17-05-2013,56.675735
20-05-2013,57.940697
21-05-2013,57.512936
22-05-2013,57.734009
23-05-2013,57.837345
24-05-2013,58.231087
28-05-2013,57.745781
29-05-2013,58.204933
30-05-2013,59.07222
31-05-2013,58.830223
03-06-2013,58.959724
04-06-2013,58.775272
05-06-2013,58.225849
06-06-2013,57.355957
07-06-2013,57.794186
10-06-2013,57.412212
11-06-2013,57.243458
12-06-2013,56.535767
13-06-2013,57.028923
14-06-2013,56.255829
17-06-2013,56.510918
18-06-2013,56.480827
19-06-2013,55.333599
20-06-2013,54.527798
21-06-2013,54.090885
24-06-2013,52.657181
25-06-2013,52.668945
26-06-2013,52.072449
27-06-2013,51.511253
28-06-2013,51.871002
01-07-2013,53.531006
02-07-2013,54.743637
03-07-2013,55.045811
05-07-2013,54.603664
08-07-2013,54.293644
09-07-2013,55.248569
10-07-2013,55.036663
11-07-2013,55.894787
12-07-2013,55.792755
15-07-2013,55.914398
16-07-2013,56.275452
17-07-2013,56.289845
18-07-2013,56.479515
19-07-2013,55.58868
22-07-2013,55.766594
23-07-2013,54.809036
24-07-2013,57.624123
25-07-2013,57.361187
26-07-2013,57.68692
29-07-2013,58.576447
30-07-2013,59.299839
31-07-2013,59.196491
01-08-2013,59.739353
02-08-2013,60.50592
05-08-2013,61.409828
06-08-2013,60.860413
07-08-2013,60.825108
08-08-2013,60.70396
09-08-2013,59.840153
12-08-2013,61.540096
13-08-2013,64.464615
14-08-2013,65.640495
15-08-2013,65.56279
16-08-2013,66.144821
19-08-2013,66.857185
20-08-2013,65.978889
21-08-2013,66.148766
22-08-2013,66.227768
23-08-2013,65.972313
26-08-2013,66.229095
27-08-2013,64.335579
28-08-2013,64.639748
29-08-2013,64.745094
30-08-2013,64.15519
03-09-2013,64.334259
04-09-2013,65.66552
05-09-2013,65.215187
06-09-2013,65.6036
09-09-2013,66.650429
10-09-2013,65.13221
11-09-2013,61.586178
12-09-2013,62.241936
13-09-2013,61.216171
16-09-2013,59.27
17-09-2013,59.954723
18-09-2013,61.187206
19-09-2013,62.190567
20-09-2013,61.546684
23-09-2013,64.605522
24-09-2013,64.40274
25-09-2013,63.405949
26-09-2013,64.023506
27-09-2013,63.566593
30-09-2013,62.776531
01-10-2013,64.252632
02-10-2013,64.463295
03-10-2013,63.653496
04-10-2013,63.603474
07-10-2013,64.224976
08-10-2013,63.328251
09-10-2013,64.072227
10-10-2013,64.473839
11-10-2013,64.891243
14-10-2013,65.316566
15-10-2013,65.664185
16-10-2013,65.984161
17-10-2013,66.430534
18-10-2013,67.008606
21-10-2013,68.650589
22-10-2013,68.454407
23-10-2013,69.124641
24-10-2013,70.039803
25-10-2013,69.25631
28-10-2013,69.772476
29-10-2013,68.034363
30-10-2013,69.116737
31-10-2013,68.827049
01-11-2013,68.475479
04-11-2013,69.360321
05-11-2013,69.189163
06-11-2013,68.993141
07-11-2013,67.87661
08-11-2013,68.945465
11-11-2013,68.745468
12-11-2013,68.872612
13-11-2013,68.954712
14-11-2013,69.952042
15-11-2013,69.532204
18-11-2013,68.689835
19-11-2013,68.811676
20-11-2013,68.209053
21-11-2013,69.022263
22-11-2013,68.844795
25-11-2013,69.366623
26-11-2013,70.646042
27-11-2013,72.309563
29-11-2013,73.648575
02-12-2013,73.007538
03-12-2013,75.006126
04-12-2013,74.831306
05-12-2013,75.215393
06-12-2013,74.171722
09-12-2013,75.020699
10-12-2013,74.904144
11-12-2013,74.349205
12-12-2013,74.240593
13-12-2013,73.431366
16-12-2013,73.837967
17-12-2013,73.505524
18-12-2013,72.946625
19-12-2013,72.110886
20-12-2013,72.714844
23-12-2013,75.505447
24-12-2013,75.184914
26-12-2013,74.685608
27-12-2013,74.181
30-12-2013,73.443275
31-12-2013,74.304169
02-01-2014,73.259171
03-01-2014,71.649979
06-01-2014,72.040665
07-01-2014,71.525482
08-01-2014,71.978439
09-01-2014,71.05928
10-01-2014,70.585136
13-01-2014,70.954643
14-01-2014,72.366508
15-01-2014,73.819427
16-01-2014,73.407501
17-01-2014,71.608925
21-01-2014,72.721451
22-01-2014,73.044617
23-01-2014,73.663139
24-01-2014,72.324127
27-01-2014,72.910835
28-01-2014,67.083275
29-01-2014,66.321724
30-01-2014,66.19326
31-01-2014,66.301849
03-02-2014,66.425018
04-02-2014,67.386581
05-02-2014,67.889877
06-02-2014,68.285576
07-02-2014,69.240891
10-02-2014,70.481323
11-02-2014,71.410004
12-02-2014,71.404671
13-02-2014,72.538506
14-02-2014,72.479904
18-02-2014,72.746391
19-02-2014,71.597878
20-02-2014,70.769112
21-02-2014,69.983017
24-02-2014,70.289467
25-02-2014,69.558014
26-02-2014,68.93045
27-02-2014,70.305466
28-02-2014,70.114929
03-03-2014,70.317451
04-03-2014,70.78112
05-03-2014,70.930351
06-03-2014,70.715843
07-03-2014,70.674538
10-03-2014,70.73848
11-03-2014,71.427307
12-03-2014,71.496605
13-03-2014,70.702507
14-03-2014,69.908417
17-03-2014,70.181564
18-03-2014,70.802422
19-03-2014,70.783783
20-03-2014,70.442688
21-03-2014,70.998283
24-03-2014,71.840363
25-03-2014,72.613129
26-03-2014,71.918976
27-03-2014,71.609863
28-03-2014,71.529915
31-03-2014,71.513916
01-04-2014,72.168106
02-04-2014,72.28804
